Time,PlayerID,GSF,StrategyMode,MySoldiers,EnemySoldiers
0.30,1,-1000.00,Defensive,0,0.00
0.36,1,-1000.00,Defensive,0,0.00
0.42,1,-1000.00,Defensive,0,0.00
0.48,1,-1000.00,Defensive,0,0.00
0.54,1,-1000.00,Defensive,0,0.00
0.60,1,-1000.00,Defensive,0,0.00
0.66,1,-1000.00,Defensive,0,0.00
0.72,1,-1000.00,Defensive,0,0.00
0.79,1,-1000.00,Defensive,0,0.00
0.85,1,-1000.00,Defensive,0,0.00
0.92,1,-1000.00,Defensive,0,0.00
0.99,1,-1000.00,Defensive,0,0.00
1.06,1,-1000.00,Defensive,0,0.00
1.12,1,-1000.00,Defensive,0,0.00
1.18,1,-1000.00,Defensive,0,0.00
1.24,1,-1000.00,Defensive,0,0.00
1.31,1,-1000.00,Defensive,0,0.00
1.38,1,-1000.00,Defensive,0,0.00
1.45,1,-1000.00,Defensive,0,0.00
1.52,1,0.00,Economic,0,0.00
1.58,1,0.00,Economic,0,0.00
1.65,1,0.00,Economic,0,0.00
1.71,1,0.00,Economic,0,0.00
1.78,1,0.00,Economic,0,0.00
1.83,1,0.00,Economic,0,0.00
1.87,1,0.00,Economic,0,0.00
1.94,1,0.00,Economic,0,0.00
2.01,1,0.00,Economic,0,0.00
2.08,1,0.00,Economic,0,0.00
2.14,1,0.00,Economic,0,0.00
2.21,1,0.00,Economic,0,0.00
2.28,1,0.00,Economic,0,0.00
2.35,1,0.00,Economic,0,0.00
2.41,1,0.00,Economic,0,0.00
2.47,1,0.00,Economic,0,0.00
2.54,1,0.00,Economic,0,0.00
2.61,1,0.00,Economic,0,0.00
2.68,1,0.00,Economic,0,0.00
2.74,1,0.00,Economic,0,0.00
2.81,1,0.00,Economic,0,0.00
2.88,1,0.00,Economic,0,0.00
2.95,1,0.00,Economic,0,0.00
3.02,1,0.00,Economic,0,0.00
3.07,1,0.00,Economic,0,0.00
3.12,1,0.00,Economic,0,0.00
3.18,1,0.00,Economic,0,0.00
3.25,1,0.00,Economic,0,0.00
3.32,1,0.00,Economic,0,0.00
3.38,1,0.00,Economic,0,0.00
3.45,1,0.00,Economic,0,0.00
3.52,1,0.00,Economic,0,0.00
3.58,1,0.38,Economic,0,0.00
3.65,1,0.90,Economic,0,0.00
3.70,1,1.44,Economic,0,0.00
3.75,1,1.94,Economic,0,0.00
3.82,1,2.46,Economic,0,0.00
3.89,1,2.97,Economic,0,0.00
3.96,1,3.53,Economic,0,0.00
4.02,1,-5.94,Defensive,0,1.00
4.08,1,-5.44,Defensive,0,1.00
4.14,1,-4.93,Defensive,0,1.00
4.21,1,-14.41,Defensive,0,2.00
4.25,1,-13.90,Defensive,0,2.00
4.31,1,-13.38,Defensive,0,2.00
4.38,1,-12.86,Defensive,0,2.00
4.44,1,-22.36,Defensive,0,3.00
4.50,1,-21.83,Defensive,0,3.00
4.57,1,-21.30,Defensive,0,3.00
4.63,1,-30.79,Defensive,0,4.00
4.69,1,-30.27,Defensive,0,4.00
4.76,1,-29.74,Defensive,0,4.00
4.82,1,-39.21,Defensive,0,5.00
4.87,1,-38.66,Defensive,0,5.00
4.91,1,-38.15,Defensive,0,5.00
4.95,1,-37.64,Defensive,0,5.00
5.01,1,-55.00,Defensive,0,5.50
5.06,1,-60.00,Defensive,0,6.00
5.10,1,-70.00,Defensive,0,7.00
5.15,1,-90.00,Defensive,0,9.00
5.21,1,-105.00,Defensive,0,10.50
5.26,1,-135.00,Defensive,0,13.50
5.30,1,-150.00,Defensive,0,15.00
5.35,1,-150.00,Defensive,0,15.00
5.40,1,-151.00,Defensive,0,15.00
5.46,1,-152.00,Defensive,0,15.00
5.51,1,-154.00,Defensive,0,15.00
5.55,1,-159.00,Defensive,0,15.00
5.61,1,-164.00,Defensive,0,15.00
5.66,1,-169.00,Defensive,0,15.00
5.72,1,-174.00,Defensive,0,15.00
0.01,1,-1000.00,Defensive,0,0.00
0.01,1,-1000.00,Defensive,0,0.00
0.05,1,-1000.00,Defensive,0,0.00
0.12,1,-1000.00,Defensive,0,0.00
0.19,1,-1000.00,Defensive,0,0.00
0.26,1,-1000.00,Defensive,0,0.00
0.32,1,-1000.00,Defensive,0,0.00
0.36,1,-1000.00,Defensive,0,0.00
0.42,1,-1000.00,Defensive,0,0.00
0.48,1,-1000.00,Defensive,0,0.00
0.54,1,-1000.00,Defensive,0,0.00
0.60,1,-1000.00,Defensive,0,0.00
0.67,1,-850.00,Defensive,0,0.00
0.74,1,-850.00,Defensive,0,0.00
0.80,1,-850.00,Defensive,0,0.00
0.87,1,-850.00,Defensive,0,0.00
0.92,1,-850.00,Defensive,0,0.00
0.98,1,-850.00,Defensive,0,0.00
1.04,1,-850.00,Defensive,0,0.00
1.11,1,-850.00,Defensive,0,0.00
1.17,1,-850.00,Defensive,0,0.00
1.22,1,150.00,Aggressive,0,0.00
1.29,1,150.00,Aggressive,0,0.00
1.35,1,200.00,Aggressive,0,0.00
1.42,1,300.00,Aggressive,0,0.00
1.46,1,350.00,Aggressive,0,0.00
1.51,1,350.00,Aggressive,0,0.00
1.57,1,350.00,Aggressive,0,0.00
1.63,1,350.00,Aggressive,0,0.00
1.70,1,350.00,Aggressive,0,0.00
1.76,1,350.00,Aggressive,0,0.00
1.83,1,350.00,Aggressive,0,0.00
1.90,1,350.00,Aggressive,0,0.00
1.96,1,350.00,Aggressive,0,0.00
