Opponent,Win,Duration,Workers,Soldiers,Towers,Wood,Stone,Meat
EliteCommander,True,246.15,18,31,44,63500,48100,67890
EliteCommander,True,209.30,17,0,3,150,36820,56380
EliteCommander,False,375.00,2,0,31,29630,83140,70
EliteCommander,True,282.90,12,0,19,6630,19410,74030
EliteCommander,True,270.25,8,0,4,320,34970,18230
EliteCommander,True,197.10,8,11,20,19950,20310,19770
EliteCommander,True,1296.30,3,1,29,154330,295320,700
EliteCommander,False,365.75,56,0,2,54130,150,63370
EliteCommander,False,75.75,2,0,3,4340,1420,90
EliteCommander,False,79.10,1,0,1,2900,70,20
EliteCommander,False,418.45,57,0,3,190,100710,153010
EliteCommander,False,1514.45,143,4,25,52400,1346520,1734440
EliteCommander,False,101.80,4,0,2,80,2850,650
EliteCommander,False,95.85,2,0,2,20,80,140
EliteCommander,False,121.15,2,0,8,2310,5140,0
EliteCommander,False,108.50,2,0,9,4120,6560,160
EliteCommander,False,543.20,2,0,18,84940,64660,30
EliteCommander,False,218.50,23,0,2,100,90,32130
EliteCommander,False,375.00,4,0,5,780,690,740
EliteCommander,False,375.00,4,0,6,780,5920,580
EliteCommander,False,247.45,4,0,3,250,10650,650
EliteCommander,False,375.00,19,0,5,323510,550,83160
EliteCommander,False,1449.10,19,0,4,4938980,430,2110580
EliteCommander,False,168.55,2,0,3,200,200,80
EliteCommander,False,375.00,5,0,7,72950,1070,26530
EliteCommander,False,375.00,2,0,4,65240,370,490
EliteCommander,False,82.90,2,0,2,290,10,30
EliteCommander,False,98.35,2,0,3,1110,120,10
EliteCommander,False,98.05,3,0,2,50,230,270
EliteCommander,False,75.05,2,0,2,130,50,0
EliteCommander,False,112.05,3,0,2,790,90,320
EliteCommander,False,375.00,2,0,7,1050,8100,13410
EliteCommander,True,1453.75,22,153,40,223750,67950,103870
EliteCommander,False,86.65,2,0,2,100,130,90
EliteCommander,False,1028.90,13,6,191,729690,167270,442680
EliteCommander,False,375.00,51,0,30,91560,7260,88970
EliteCommander,False,72.70,2,0,2,4000,40,20
EliteCommander,False,95.10,7,0,3,220,170,1760
EliteCommander,False,134.80,3,0,2,80,2030,260
EliteCommander,False,307.60,42,0,2,130,230,57610
EliteCommander,False,101.45,2,0,3,230,100,120
EliteCommander,False,375.00,15,0,41,108650,8160,35780
EliteCommander,False,375.00,9,0,10,1810,27630,45840
EliteCommander,False,97.65,2,0,3,2890,280,30
EliteCommander,False,95.25,2,0,2,50,120,180
EliteCommander,False,130.85,2,0,11,19890,2380,80
EliteCommander,False,3163.50,19,0,70,387900,2912370,4976580
EliteCommander,False,125.85,2,0,2,0,0,0
EliteCommander,False,85.90,1,0,2,0,0,1800
EliteCommander,False,132.80,2,0,2,3980,0,0
EliteCommander,False,375.00,2,0,3,8140,260,170
EliteCommander,False,146.25,2,0,2,0,630,4260
EliteCommander,False,114.90,2,0,2,0,1320,0
EliteCommander,False,155.15,2,0,2,540,80,20
EliteCommander,False,121.00,2,0,2,0,220,150
EliteCommander,False,165.20,6,0,3,2180,2940,1660
EliteCommander,False,130.60,2,0,3,100,120,220
EliteCommander,False,150.75,2,0,2,3060,60,180
EliteCommander,False,113.85,2,0,2,80,280,90
EliteCommander,False,135.00,3,0,3,200,220,270
EliteCommander,False,375.00,2,0,62,85640,12920,110
EliteCommander,False,121.45,2,0,2,20,110,150
EliteCommander,False,133.55,2,0,3,150,370,180
EliteCommander,False,320.30,4,0,4,500,440,690
EliteCommander,False,107.10,2,0,3,200,150,80
EliteCommander,False,196.35,2,0,3,150,260,160
EliteCommander,False,104.75,2,0,2,70,210,110
EliteCommander,False,233.40,36,0,3,250,3790,33250
EliteCommander,False,107.85,2,0,2,30,100,50
EliteCommander,False,254.95,2,0,4,77880,380,180
EliteCommander,False,112.75,2,0,2,90,110,100
EliteCommander,False,375.00,8,0,5,640,9500,12280
EliteCommander,True,704.10,13,0,17,421440,3020,64670
EliteCommander,True,392.90,13,0,11,1870,32410,39690
EliteCommander,True,357.75,14,0,7,67330,920,15050
EliteCommander,True,569.75,17,0,19,298770,3370,112000
EliteCommander,False,115.95,2,0,2,50,190,40
EliteCommander,False,112.20,2,0,3,9650,200,230
EliteCommander,False,95.30,2,0,3,5610,220,130
EliteCommander,False,1392.50,44,0,135,1833150,65500,859350
EliteCommander,False,243.50,3,0,3,260,340,320
EliteCommander,False,180.80,3,0,3,250,2070,440
EliteCommander,False,134.90,2,0,3,410,410,100
EliteCommander,False,100.40,2,0,3,160,130,210
EliteCommander,False,279.70,36,0,2,180,470,33940
EliteCommander,False,113.80,2,0,3,1090,130,80
EliteCommander,False,1040.90,55,0,19,906680,3500,744850
EliteCommander,False,375.00,49,0,3,220,31040,27020
EliteCommander,False,113.30,2,0,2,16370,80,80
EliteCommander,False,102.90,2,0,3,110,180,150
EliteCommander,False,160.80,5,0,3,160,390,750
EliteCommander,False,127.50,2,0,3,2870,230,130
EliteCommander,False,109.50,2,0,3,3740,240,130
EliteCommander,False,115.05,4,0,2,140,60,570
EliteCommander,False,95.40,2,0,2,30,110,80
EliteCommander,True,296.75,9,0,11,1720,11290,20540
EliteCommander,True,294.05,3,0,3,250,6270,2370
EliteCommander,False,375.00,8,0,10,1650,9300,11560
EliteCommander,True,316.20,7,0,6,750,10810,2400
EliteCommander,False,69.65,2,0,2,0,20,0
EliteCommander,False,60.45,2,0,2,20,80,150
EliteCommander,False,89.65,2,0,2,50,50,130
EliteCommander,False,375.00,13,0,81,19090,31860,41300
EliteCommander,False,76.00,2,0,2,2250,60,20
EliteCommander,False,375.00,7,0,6,870,4140,2820
EliteCommander,False,375.00,2,0,36,20020,7340,100
EliteCommander,False,79.30,2,0,2,4780,60,30
EliteCommander,False,106.35,3,0,2,90,180,250
EliteCommander,True,335.45,10,0,5,680,23070,8140
EliteCommander,False,78.65,3,0,2,40,330,320
EliteCommander,False,64.55,2,0,2,20,20,130
EliteCommander,True,344.90,9,0,6,75150,890,20680
EliteCommander,False,114.50,2,0,2,50,100,90
EliteCommander,True,332.15,6,0,3,250,12470,21290
EliteCommander,True,416.35,8,0,4,166210,470,17270
EliteCommander,True,393.35,10,0,6,124970,880,43050
EliteCommander,True,610.70,5,0,13,114290,2200,770
EliteCommander,True,315.50,12,0,6,36690,700,81570
EliteCommander,False,56.10,2,0,2,10,40,160
EliteCommander,True,550.05,9,0,10,1580,42420,16930
EliteCommander,False,71.30,2,0,2,120,30,120
EliteCommander,False,117.45,3,0,3,7370,240,270
EliteCommander,False,158.80,2,0,3,1350,120,190
EliteCommander,False,74.20,2,0,2,2750,90,20
EliteCommander,False,71.85,2,0,2,4270,60,80
