Episode,Reward,Steps,WinRate
335,7984.20,598,0.99
336,6268.00,755,0.99
337,5452.80,817,0.99
338,8946.00,490,0.99
339,5370.60,829,0.99
340,6608.90,706,0.99
341,2755.10,1069,0.99
342,4532.20,913,0.99
343,5767.00,785,0.99
344,7416.50,650,0.99
345,8755.60,504,0.99
346,7694.60,609,0.99
347,7581.10,634,0.99
348,7914.80,592,0.99
349,7223.00,655,0.99
350,6595.20,713,0.99
351,7647.10,629,0.99
352,7833.90,576,0.99
353,4135.80,942,0.99
354,6942.10,679,0.99
355,9641.90,431,0.99
356,7606.20,618,0.99
357,9733.20,418,0.99
358,9702.00,415,0.99
359,-26.50,1250,0.98
360,5950.90,796,0.98
361,1868.40,1176,0.98
362,6945.10,654,0.99
363,7873.90,596,0.99
364,9705.00,415,0.99
365,8582.50,535,0.99
366,3044.00,1055,0.99
367,5200.30,837,0.99
368,8104.60,569,0.99
369,2947.00,1065,0.99
370,4654.40,886,0.99
371,5701.50,835,0.99
372,7785.60,609,0.99
373,121.00,1250,0.98
374,8329.90,556,0.98
375,5505.00,830,0.98
376,5794.70,783,0.98
377,4164.80,957,0.98
378,5415.40,806,0.98
379,9567.10,434,0.98
380,7399.60,624,0.98
381,9145.10,484,0.98
382,8449.60,539,0.98
383,8820.20,498,0.98
384,9553.00,425,0.98
385,5233.80,857,0.98
386,7525.10,644,0.98
387,8747.10,519,0.98
388,1556.20,1213,0.98
389,7135.70,688,0.98
390,5462.90,806,0.98
391,6463.40,736,0.98
392,7003.90,701,0.98
393,7289.60,644,0.98
394,9282.80,457,0.98
395,3754.00,985,0.98
396,8152.60,554,0.98
397,6663.80,707,0.98
398,3859.00,975,0.98
399,7751.70,608,0.98
400,6564.30,697,0.98
401,7150.80,672,0.98
402,5833.20,813,0.98
403,8953.70,498,0.98
404,5454.90,826,0.98
405,7002.20,673,0.98
406,8995.50,480,0.98
407,1699.10,1189,0.98
408,7284.50,655,0.98
409,2729.80,1072,0.98
410,8197.60,564,0.98
411,8450.70,558,0.98
412,7869.40,606,0.98
413,6423.10,744,0.98
414,4380.70,923,0.98
415,8802.10,519,0.98
416,5419.60,834,0.98
417,5894.30,807,0.98
418,7424.50,640,0.98
419,7819.80,597,0.98
420,8875.80,492,0.98
421,5437.80,837,0.98
422,6256.20,728,0.98
423,6400.70,723,0.98
424,10178.30,382,0.98
425,6486.10,729,0.98
426,8933.30,482,0.98
427,9097.10,489,0.98
428,7591.50,615,0.98
429,5499.80,802,0.98
430,7433.00,630,0.98
431,6285.70,743,0.98
432,4043.80,942,0.98
433,5991.80,792,0.98
434,6926.10,699,0.98
435,5312.90,821,0.98
436,8081.30,552,0.98
437,8511.80,547,0.98
438,7169.90,656,0.98
439,7759.80,612,0.98
440,8800.70,528,0.98
441,6678.60,699,0.98
442,8717.30,497,0.98
443,8653.80,527,0.98
444,9659.60,419,0.98
445,8533.40,531,0.98
446,8127.40,576,0.98
447,9511.60,444,0.98
448,7304.40,651,0.98
449,8038.40,571,0.98
450,5376.60,814,0.98
451,1538.50,1195,0.98
452,1384.00,1210,0.98
453,9466.10,439,0.98
454,6847.30,692,0.98
455,9812.60,404,0.98
456,8061.90,606,0.98
457,-30.00,1250,0.97
458,8565.10,509,0.97
459,9763.80,422,0.98
460,9077.40,491,0.98
461,3384.30,1007,0.98
462,6172.40,741,0.98
463,7534.10,639,0.98
464,6579.50,705,0.98
465,5933.60,789,0.98
466,8538.40,521,0.98
467,8264.20,553,0.98
468,6737.20,733,0.98
469,5281.60,844,0.98
470,4100.40,946,0.98
471,6198.30,762,0.98
472,7060.30,677,0.98
473,8231.00,575,0.99
474,8265.80,567,0.99
475,5017.10,879,0.99
476,6854.90,711,0.99
477,7619.90,621,0.99
478,6292.20,753,0.99
479,2956.60,1074,0.99
480,9306.10,464,0.99
481,5510.50,840,0.99
482,8713.10,509,0.99
483,7990.60,604,0.99
484,7967.40,581,0.99
485,7729.10,609,0.99
486,4606.10,909,0.99
487,9258.20,463,0.99
488,8702.90,536,0.99
489,5283.10,824,0.99
490,6068.40,761,0.99
491,-33.00,1250,0.98
492,7310.80,662,0.98
493,6207.40,766,0.98
494,9347.10,454,0.98
495,9513.80,427,0.98
496,8191.50,565,0.98
497,5321.10,839,0.98
498,8856.80,522,0.98
499,9488.10,449,0.98
500,10121.10,359,0.98
501,7313.40,661,0.98
502,9773.20,418,0.98
503,8910.10,484,0.98
504,7027.20,698,0.98
505,4629.20,898,0.98
506,7455.30,642,0.98
507,8463.70,528,0.98
508,7369.90,636,0.98
509,6938.60,699,0.98
510,7349.10,639,0.98
511,4770.80,907,0.98
512,8237.00,565,0.98
513,4627.90,931,0.98
514,5825.10,789,0.98
515,5984.00,795,0.98
516,7820.10,614,0.98
517,9763.80,427,0.98
518,5620.50,805,0.98
519,5413.90,826,0.98
520,8603.60,529,0.98
521,8394.70,563,0.98
522,5412.60,839,0.98
523,5959.90,771,0.98
524,-35.50,1250,0.97
525,9356.70,468,0.97
526,9771.30,432,0.97
527,7686.50,610,0.97
528,6899.80,682,0.97
529,7564.20,613,0.97
530,3992.80,952,0.97
531,8851.00,495,0.97
532,7145.20,683,0.97
533,8580.50,540,0.97
534,8637.00,525,0.97
535,7398.20,643,0.97
536,9682.40,426,0.97
537,9616.90,441,0.97
538,6486.80,737,0.97
539,9445.00,455,0.97
540,9061.60,474,0.97
541,5601.80,802,0.97
542,6506.30,712,0.97
543,9851.00,415,0.97
544,6037.10,759,0.97
545,9181.30,457,0.97
546,9860.70,413,0.97
547,7114.00,685,0.97
548,8858.10,499,0.97
549,5977.10,789,0.97
550,8975.10,514,0.97
551,5541.80,827,0.97
552,10103.60,394,0.97
553,5955.30,772,0.97
554,10348.90,371,0.97
555,8570.00,555,0.97
556,7139.10,669,0.97
557,7047.40,681,0.98
558,6037.90,796,0.98
559,8242.20,563,0.98
560,8626.90,526,0.98
561,8837.10,509,0.98
562,8791.30,527,0.98
563,5030.70,863,0.98
564,7504.30,632,0.98
565,8367.30,547,0.98
566,7009.20,668,0.98
567,5131.60,844,0.98
568,7810.00,595,0.98
569,9163.40,476,0.98
570,9283.40,461,0.98
571,4812.60,899,0.98
572,6906.90,696,0.98
573,9317.20,458,0.98
574,8253.90,581,0.98
575,7751.10,599,0.98
576,8273.50,560,0.98
577,9047.70,488,0.98
578,9537.00,425,0.98
579,6807.40,701,0.98
580,8451.30,547,0.98
581,7134.60,664,0.98
582,5548.40,816,0.98
583,9754.50,415,0.98
584,7222.00,665,0.98
585,8916.80,502,0.98
586,9038.00,490,0.98
587,8453.20,543,0.98
588,9580.50,440,0.98
589,9149.50,460,0.98
590,6355.80,742,0.98
591,6896.70,698,0.99
592,6493.20,738,0.99
593,4317.90,966,0.99
594,5722.00,800,0.99
595,5944.40,791,0.99
596,2461.60,1134,0.99
597,6884.00,680,0.99
598,6601.30,712,0.99
599,8626.90,521,0.99
600,6731.30,717,0.99
601,9420.00,445,0.99
602,8994.40,506,0.99
603,9478.90,446,0.99
604,9976.90,396,0.99
605,7805.20,588,0.99
606,9216.70,473,0.99
607,8797.00,505,0.99
608,5789.40,811,0.99
609,4741.70,873,0.99
610,9032.40,496,0.99
611,8943.60,499,0.99
612,6803.30,712,0.99
613,7674.20,638,0.99
614,6170.00,745,0.99
615,9425.70,433,0.99
616,6222.20,773,0.99
617,8951.10,494,0.99
618,7420.30,622,0.99
619,9343.50,460,0.99
620,8621.40,536,0.99
621,8711.80,527,0.99
622,9416.00,470,0.99
623,5583.10,819,0.99
624,7968.10,609,1.00
625,4450.60,949,1.00
626,6359.40,746,1.00
627,7192.70,668,1.00
628,7280.60,674,1.00
629,7106.40,676,1.00
630,8619.20,523,1.00
631,7623.40,616,1.00
632,5013.70,888,1.00
633,6623.50,710,1.00
634,6592.20,708,1.00
635,7502.50,655,1.00
636,8376.60,579,1.00
637,8645.00,520,1.00
638,9198.20,473,1.00
639,9719.80,427,1.00
640,1269.90,1221,1.00
641,8497.10,539,1.00
642,8838.50,495,1.00
643,7053.00,700,1.00
644,5974.80,767,1.00
645,8016.90,586,1.00
646,8659.40,531,1.00
647,7980.00,570,1.00
648,8479.30,522,1.00
649,3823.30,997,1.00
650,6005.30,757,1.00
651,7766.20,583,1.00
652,9744.10,434,1.00
653,8918.90,506,1.00
654,7231.10,649,1.00
655,9082.00,485,1.00
656,8298.50,535,1.00
657,7299.80,632,1.00
658,8385.90,531,1.00
659,5709.40,791,1.00
660,5715.50,810,1.00
661,8258.10,544,1.00
662,7240.50,645,1.00
663,6647.70,698,1.00
664,8163.80,562,1.00
665,7867.30,622,1.00
666,6147.50,785,1.00
667,7890.00,585,1.00
668,8581.90,531,1.00
669,7289.00,655,1.00
670,8426.60,549,1.00
671,6787.60,704,1.00
672,7243.30,677,1.00
673,8964.70,488,1.00
674,5152.70,883,1.00
675,7409.00,665,1.00
676,6940.70,683,1.00
677,9831.40,416,1.00
678,5657.90,811,1.00
679,10340.80,347,1.00
680,6865.30,682,1.00
681,7024.20,698,1.00
682,4878.80,887,1.00
683,7093.60,674,1.00
684,7284.10,669,1.00
685,4676.30,912,1.00
686,7081.50,685,1.00
687,6615.10,724,1.00
688,8205.20,568,1.00
689,7278.10,669,1.00
690,8519.40,526,1.00
691,7968.30,572,1.00
692,7727.60,614,1.00
693,9981.00,405,1.00
694,8069.30,567,1.00
695,8524.90,536,1.00
696,10032.40,391,1.00
697,9800.00,410,1.00
698,8716.20,513,1.00
699,10489.50,355,1.00
700,6736.60,709,1.00
701,8859.60,489,1.00
702,6219.40,736,1.00
703,10535.80,352,1.00
704,6873.50,705,1.00
705,6883.70,708,1.00
706,9657.00,415,1.00
707,7617.30,617,1.00
708,-126.00,1250,0.99
709,4990.80,887,0.99
710,5214.10,854,0.99
711,8694.40,491,0.99
712,10308.20,373,0.99
713,8130.90,566,0.99
714,10425.80,357,0.99
715,10156.20,388,0.99
716,8564.40,521,0.99
717,8958.60,479,0.99
718,9780.40,421,0.99
719,9321.20,453,0.99
720,7887.10,594,0.99
721,9620.80,427,0.99
722,10227.90,386,0.99
723,8233.10,569,0.99
724,8559.20,528,0.99
725,9069.30,487,0.99
