GenID,Fitness,WorkerLim,SoldierLim,AttackThres,DefRatio,BarrackCount,EcoBias,FarmT,WoodT,StoneT,HouseBuf,TowerPos,BaseDef,SaveThres,Bloodlust
78,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
79,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
80,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
81,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
82,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
83,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
84,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
85,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
86,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
87,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
88,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
89,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
90,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
91,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
92,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
93,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
94,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
95,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
96,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
97,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
98,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
99,-6770.00,28.87,40.00,0.00,40.00,0.00,1.21,9.40,23.08,8.44,0.00,40.00,20.61,40.00,40.00
